jardín	lote
pasarela	infraestructura urbana
mandarina	planta leñosa
linchamiento	pena capital
citación	pasaje
báscula	instrumento de medida
enna	comunidad
barco de carga	carguero
ají	capsicum
aristocracia	clase social
zeeman	cráter
alambre de púas	conexión
pan	alimento básico
sol de mayo	urbe
francis hopkinson	autoridad
xantina	cristal
caraota	hortaliza
campesino	joven
rotor	alternador
homomorfismo	semejanza
pocilga	entidad territorial
paraguay	estado sin litoral
superordenador	computadora
winston churchill	guerrera
regadera	recipiente
crédito fiscal	mengua
vicepresidente	firma
lasso	instrumentista
alicante	población urbana
arena	estructura arquitectónica
vicepresidente	tratamiento
arthur wellesley	líder
habanera	danza
té	angiosperma
lluvia	fenómeno
cal	programa del sistema
criptografía	criptología
tabernero	persona
teodosio i	emperador
histerectomía	intervención
pyongyang	urbe
pradera	entorno
dictamen	manifestación
centeno	bebida
homomorfismo	función matemática
protector de pantalla	programa de computación
cigüeñuela	ave acuática
dólar	billete
triticum	producto alimenticio
cumbre	vértice
cosecante	función elemental
patrón	propietario
afonía	enfermedad neurológica
confiscación	orden judicial
música disco	género musical
libra esterlina	dinero
encuentro	unión
abarth	industria automotriz
sol de mayo	comunidad
winston churchill	historiógrafo
flapper	muchacha
aposento	hábitat
estación de autobús	servicio
piel de nutria	piel
canícula	ola
monte rainier	volcán activo
hipertensión arterial	enfermedad
psicometría	psicología
flapper	persona
oclusión	sufrimiento
termistor	conductor
costa	hábitat
manopla	prenda
rotor	generador eléctrico
cádiz	área metropolitana
inducción	razonamiento
pena	juicio
rasta	discípulo
usura	tarifa
escudo	emblema
louis armstrong	persona
pan	producto alimenticio
arenal	juguete
rumor	álbum
bolsillo	cavidad
cebú	metrópolis
nochebuena	etapa
robert lowell	escritor
barco de carga	transporte
cenote	gruta
catálogo	publicación
winston churchill	amo
placa	bloque
texas	área metropolitana
afonía	patología
asentamiento	población urbana
monte rainier	accidente geográfico
oreja	parte del cuerpo
crédito fiscal	reducción
arenque	actinopterygii
embocadura	aerófono
cría de animales	labor
paraná	río
acero	mezcla
sociolingüística	investigación científica
microondas	electrodoméstico
hamás	organización política
circón	nesosilicato
úlcera duodenal	base
mtv	emisora de televisión
robert graves	persona
shakira	álbum de estudio
liberalización	disminución
placa	vajilla
tangancícuaro	entidad territorial
musical	cine
epigrafía	investigación
ion	partícula subatómica
batman	juego de ordenador
lanza	arma enastada
galatasaray	metrópolis
lascivia	deseo sexual
guardameta	contendiente
winston churchill	administrador
diadema	complemento
amatista	tono
llovizna	agua pluvial
lechuga	herbácea
cúmulo	objeto astronómico
beatriz de suabia	reina
catedral	estructura arquitectónica
pena	estímulo negativo
mano de obra	faena
mary poppins	cine
aduana	canon
sociolingüística	investigación médica
casero	terrateniente
sátira	intelectualidad
demodulación	broadcasting
naranjito	entidad territorial
lazo	tela
cardiopatía	condición
arthur wellesley	político
omar khayyam	poeta
ocre	colorante
cobre	céntimo
campesino	niño
ábside	recinto
béisbol	competición
donna summer	álbum de estudio
rastrojo	pasto
halcón peregrino	falco
teherán	pueblo
cuartel	blasón
albergue	vivienda
tutú	vestido
renacimiento de harlem	movimiento social
sociolingüística	ensayo y error
pavimento	infraestructura urbana
insignia	alegoría
sango	lengua natural
fango	degradación
monte rainier	montaña
seguro sanitario	seguro
habsburg	villa
gárgola	animal mítico
cuartel	local
james madison	sacerdote
carabela	balandra
ácido	percepción
apnea	dolencia
libra esterlina	divisa
marfil	blanco
nuez moscada	hortaliza
biarritz	entidad territorial
bolivia	área urbana
erinias	animal mítico
zeeman	formación geológica
seguro sanitario	gestión
daniel webster	autoridad
cruce	calle
cádiz	aglomeración urbana
cañón	barranco
tiza	instrumento de escritura
blusa	ropa
finca	estructura arquitectónica
ferry	transporte naval
área cultural	suburbio
jet	aeroplano
monte rainier	monte
maestro de baile	bailarín
sílex	cuarzo
almizcle	secreción
puente	infraestructura urbana
protocolo	sistema de unidades
turbión	agua pluvial
cumbre	escena
camiseta	indumentaria
mirilla	orificio
ansiedad	condición mental
patrullero	persona
fango	suciedad
tenis de mesa	deporte
homicidio	muerte
vanguardismo	movimiento artístico
agua de coco	zumo
culebra de collar	animal
vagón de pasajeros	vagón de ferrocarril
sake	alcohol
alambre de púas	cable
barco de carga	barco mercante
coche	vehículo
canoa	transporte naval
vademécum	libro
paul simon	cantor
neocolonialismo	explotación social
paseo	travesía
gasóleo	sistema termodinámico
línea ferroviaria	infraestructura urbana
quitanieves	medio
fibrilación	morbilidad
polígono	batería
trampa	argucia
ponce de león	población urbana
letrista	autor
bordillo	faz
arena	escena
institutor	operario
plato	lámina
halcón peregrino	ave rapaz
panel solar	instalación
paul simon	cantante
heródoto	persona
tímpano	instrumento musical
habanera	espectáculo
garfield	ciudad
facsímil	reproducción
chaparrón	fenómeno
cañón	depresión natural
sílex	roca sedimentaria
lüleburgaz	área urbana
sudor	secreción
rasta	persona
traje	vestuario
hancock	filme
canícula	fenómeno
cuervo	pájaro
banco comercial	banco
vendedor	persona
neófito	pupilo
campesino	agricultor
pelota	órgano genital
globo aerostático	transporte de pasajeros
casa solariega	mansión
aneurisma cerebral	enfermedad
mano de obra	mercado laboral
buque	nave
montaña	hábitat
ácido acético	oxácido
basilisco	animal legendario
hipoclorito de sodio	agente blanqueador
pavimento	autovía
batman	filmación
protector de pantalla	programa informático
torre de pisa	monumento
acta notarial	documento de texto
arturo alessandri	dirigente
culebra de collar	vertebrado
partido liberal demócrata	organización política
culebra de collar	reptil
cumulonimbo	nube
bray	comunidad
vinagrera	hortaliza
chaparrón	precipitación
soubise	comunidad
arthur wellesley	jefe de gobierno
segmentación	cambio químico
crupier	persona
el rey lear	representación
virus informático	malware
hemorragia	traumatismo
cal	programa informático
bardos	aldea
gárgola	obra de arte
frisón	vertebrado
láser	máquina
bardos	área metropolitana
adivino	parapsicología
torniquete	verja
escarpadura	formación geológica
fútbol club barcelona	asociación
bruce willis	productor de cine
vaquilla	vaca
ellington	dirección de orquesta
billar	deporte
piano	instrumento
té	tracheobionta
acetato de etilo	ester
bolsillo	apertura
cerilla	encendedor
coronel	fuerzas armadas
chartreuse	silicato
tutú	indumento
endrina	tracheobionta
vial	recipiente
calisto	objeto astronómico
cenote	hábitat
esclusa	restricción
erosión	fricción
blas infante	persona
arn	compuesto
antiniebla	lámpara eléctrica
liberalización	merma
fc barcelona	cuadrilla
ácido nítrico	compuesto químico
monumento	obra de arte
bromeliaceae	planta vascular
lago eyre	lago
isaac asimov	maestro
nieve	precipitación atmosférica
mikhail gorbachev	presidente
cuento	mentira blanca
atraco	desvalijamiento
perjurio	crimen
avión	hirundinidae
comba	maroma
pentosa	sacarosa
rosa parks	reformador social
río elba	extensión de agua
grafito	carbono
apnea	enfermedad
cebú	pueblo
polaris	personaje
sango	lenguaje
cabecera	mobiliario
béisbol	deporte
jailbreak	single
segmentación	clivaje
teniente primero	oficial militar
acero	sistema termodinámico
locomotora	vehículo
foulard	ropa
librero	propietario
bolivia	centro urbano
heródoto	autora
póker	juego de naipes
ion	partícula
cifosis	espina dorsal
el rey lear	drama
neblina	bruma
estrecho	cuerpo de agua
pena de muerte	fallo
ojal	abertura
grafito	fibra mineral
ácido	sabor
nevasca	tormenta
lavarropas	electrodoméstico
coronel	estatus
kiwi	animal
liberalización	aminoración
asentamiento	metrópolis
polimerización	proceso químico
capilla	estructura arquitectónica
grevillea	planta
paste	tarta
vehículo	transmisión
mirilla	agujero
nimbo	nube
rey	honorífico
trampa	acción voluntaria
metal precioso	elemento químico
rugby	deporte de equipo
garm	carnívoro
carabela	barco
ovejero	animal doméstico
bill tilden	atleta
macis	pepita
mdna	álbum de estudio
marfil	matiz
mary poppins	producción
aguacero	lluvia
adam smith	filósofo
anticuerpo	compuesto químico
globo aerostático	transporte
vals	show
cáncer	afección
canícula	etapa
polaris	obra musical
quitanieves	medio de transporte
casco	vestuario
endocarditis	enfermedad
folclore	evento social
condado	rango
zambia	vecindad
peso cubano	unidad monetaria
rupia	dinero
endrina	planta
phillyrea	spermatophyta
agua de coco	fenómeno
arenque	teleósteo
stanford	persona
lauren bacall	actor
galatasaray	suburbio
ingreso	capital
peso cubano	moneda
teniente primero	soldado
villa	estructura arquitectónica
paseo	viaje
cumbre	vecindad
témpano	hielo
astigmatismo	enfermedad
tamarao	bóvido
william ewart gladstone	responsable
cerúleo	verde azulado
marfil	albura
pera	tracheobionta
hemorragia	daño
vagón de pasajeros	vehículo
tontina	seguro de vida
batman	juego de video
coche	máquina
vals	obra musical
naranjito	área urbana
knish	producto alimenticio
tokio	suburbio
dólar	plata
vinagre	ácido acético
palestra	estructura arquitectónica
jet	aeronave
balonmanista	concursante
batalla campal	disturbio
trampa	máquina
einstein	persona
traje	uniforme
linterna	candil
kublai khan	emperador
sociolingüística	experimentación
dictadura	autocracia
sentido del oído	facultad
electronvoltio	caloría
glitch	defecto
termistor	instrumento de medición
abrigo	prenda
gacha	cereal
cava	depósito
macroevolución	filogenia
letrista	poeta
chubasco	agua pluvial
bray	metrópoli
naranjo	planta perenne
avión	medio
winston churchill	docto
cava	fluido
gasóleo	motor
inocencio iv	pontífice
arthur wellesley	dirigente
cruce	variabilidad genética
isaac asimov	lecturer
escudo	unidad monetaria
plexiglás	acrílico
instituto	logia
vicepresidente	administrador
macbeth	drama
topacio	frase
sílex	mineral
desierto de atacama	extensión
nochebuena	día de fiesta
plato	idiófono
villa	ciudad
hancock	cine de acción
dólar	moneda de reserva
escarpe	blindaje
escarpe	acantilado
dolina	formación geológica
ellington	gestión
esclusa	paso
lavadero	espacio
macbeth	adaptación
isla esmeralda	isla ficticia
diadema	corona
explorador	persona
brisa	compacidad
explorador	programación modular
taxodium	planta leñosa
canal de panamá	canal
espectroscopia	indagatoria
gabriel garcía márquez	persona
cuartel	edificación
lahar	movimiento
protocolo	pacto
capuchino	líquido
homomorfismo	igualdad
lingüística	método científico
lüleburgaz	guerra
frisón	germánico occidental
vinagrera	planta
zanja	depresión
estruendo	ruido
temporal	clima
cádiz	infraestructura urbana
tutú	ropa
let it be	single
culebra de collar	ofidio
alcohol	líquido
mirlo	ave
avalancha	desplazamiento
cebú	aglomeración urbana
teniente primero	oficial
cartulina	papel
estación de tren	terminal
hospital	estructura arquitectónica
ponce de león	ciudad
capilla	edificio
caraota	legumbre
mdna	álbum
blusa	vestimenta
témpano	formación geológica
bolivia	zona metropolitana
doctrina	libro
chelín	pisto
hipoclorito de sodio	substancia
pretor	persona
coloquio	conversación
maracas	instrumento
energía	propiedad física
giovanni boccaccio	persona
matemáticas	indagación
tregua	paz
amatista	roca
peón	guerrero
estudiante	inscrito
robo	malhechor
eurotúnel	infraestructura
camisa	vestuario
úlcera duodenal	mal
ferry	barco
protozoo	microorganismo
francis hopkinson	defensor
templario	persona
mary poppins	obra de arte
úlcera duodenal	úlcera péptica
edad media	edad
dólar	documentación
rastrillo	barredera
rastrojo	forraje
taxodium	pinidae
ovejero	empleado
mojón	monumento
carabela	embarcación a vela
tokio	aglomeración urbana
abadía	iglesia
segmentación	proceso químico
microondas	radiación electromagnética
fútbol club cartagena	club deportivo
garm	can
cádiz	municipio
hank williams	cantante
escarpadura	acantilado
atraco	robo
ocarina	aerófono
torgau	vecindad
uganda	vecindad
leonor de aquitania	gobernante
soroche	condición
toalla	tela
vals	teatro
pierre-joseph proudhon	político
panadero	comerciante
erosión	proceso químico
himno	símbolo nacional
sacerdote	párroco
autodidacta	persona
almizcle	pista
mirlo	animal
vinagre	ácido
daiquiri	trago
sam shepard	histrión
vinagre	aliño
pulsera	faja
barco de carga	vehículo
protocolo	compromiso
cerilla	lighter
ágata	compuesto químico
placa	lámina
caldera	cacerola
orfebrería	artesanía
jaime alguersuari	motorista
cooperativa	club
amígdala	estructura anatómica
mercadillo	bazar
cóctel	acto social
lacayo	trabajador
tokio	entidad territorial
hockey	contienda
erlang	lengua planificada
apnea	síntoma
crédito fiscal	aminoración
alicante	urbe
macbeth	banda
trinquete	llave inglesa
molibdeno	elemento metálico
pena de muerte	castigo corporal
vals	danza
ovejero	cánido
sam shepard	cienasta
valle	accidente geográfico
plethodontidae	anfibio
inocencio iv	obispo católico
rocalla	espacio
nieve	substancia
finca	asentamiento rural
zweig	autor
paso a nivel	intersección
heródoto	escritora
sakura	fruta
gabán	chaqueta
protocolo	estándar
ellington	persona
locomotora	medio de transporte
piedra rojiza	edificación
tienda	expendedor
tabaco	producto vegetal
acadio	jerarquía
ácido acético	ácido
giovanni boccaccio	periodista
muralla	montículo
risco	formación geológica
cartera	bolso
toki	juego de computadora
vagón de pasajeros	vagón
tímpano	instrumento
cabecera	data
phillyrea	planta vascular
cantautor	cantante
isla esmeralda	lugar ficticio
polaris	astro
cañón	máquina
cóctel	líquido
naranjito	zona metropolitana
stanley kubrick	productor de cine
acero	solución
oreja	canal
isaac asimov	instructor
cebú	urbe
toki	juego de video
arlequín	uniforme
barco insignia	embarcación
bruno walter	persona
winston churchill	administradora
atraco	acto ilegal
jaime alguersuari	chófer
tiza	roca sedimentaria
macis	arilo
donna summer	obra musical
korean air	compañía de transportes
cencerro	instrumento de percusión
enrique peña nieto	persona
seleccionador	dirigente
bardos	zona metropolitana
teatro apollo	edificación
gacha	angiosperma
cuenta de ahorro	instrumento comercial
nuez moscada	producto agrícola
julio	período
quitamiedos	pasamano
babilonia	centro urbano
callejón	calzada
ábside	infraestructura
biarritz	centro urbano
cantón	estado federado
deficiencia mental	retraso
lavarropas	máquina
paste	pastel
villa	consistorio
game of thrones	videojuego
chubasco	compuesto químico
espiga	fruto
rugby	deporte
1945	etapa
cerveza	bebida alcohólica
tewkesbury	parroquia
instituto	cofradía
traje	indumento
aduana	arancel
béisbol	campeonato
toki	aplicación informática
ellington	compositor
matriz	ordenación
monte vesubio	montaña
zueco	bota
bolsillo	saco
praga	área metropolitana
cenote	cueva
cyberpunk	desarrollador
yeso	compuesto
lazo	cierre
mar negro	masa de agua
vinagre	ácido carboxílico
centeno	whisky
optometrista	especialista
lechuga	vegetal
doncella	jovencita
elizabeth taylor	actriz
sefardí	indoeuropeo
elizabeth taylor	periodista
oreja	estructura anatómica
tráiler	vehículo
paseo	periplo
tontina	abono
falda	prenda de vestir
salario	pago
golfo de méxico	cuenca fluvial
euskaltel-euskadi	equipo
pontífice	reverendo
cachorro	canino
jane doe	producción audiovisual
vial	equipamiento
bolsillo	bolso
monte vesubio	elevación
pan de maíz	almidón
cielo	extremo
torbellino	alboroto
land rover	firma
mantis religiosa	invertebrado
glaucoma	dolencia
elipsoide	conformación
franklin delano roosevelt	amo
fragata	embarcación de vela
curling	competencia
barco pesquero	barco
zanja	curso de agua
carlos de valois	rey
ellington	pueblo
kruschev	dirigente
difracción	fenómeno
aristocracia	élite
batman	álbum de estudio
bray	cantautor
kiwi	etnia
vaquilla	mamífero
hipertensión arterial	desorden
lagoa	centro urbano
ají	hortaliza
canoa	vehículo
axila	estructura anatómica
teherán	área urbana
lago eyre	líquido
inocencio iv	vicario
cerveza	alcohol
brandy	biblioteconomía
protector de pantalla	programa de servicio
yeso	sulfato de calcio
miocarditis	mal
diadema	tocado
ion iliescu	jefe de estado
rocalla	extensión
mozart	implementación
mandarina	árbol frutal
embrión	etapa
antiniebla	luz
teorema	proposición
río hudson	río
círculo cromático	tabla
brahmaputra	masa de agua
acuífero	formación geológica
capilla	iglesia
pancarta	notificación
escarlata	rojo
rey	naipe
foulard	complemento
cantinero	camarero
piano	cordófono
ellington	urbe
úlcera duodenal	patología
ferdinand de saussure	erudito
bruno walter	director musical
parlamento	persona jurídica
stanford	aglomeración urbana
sombrero	vestimenta
trinquete	llave
cardiopatía	afección
piel de nutria	tejido conjuntivo
cerivastatina	estatina
molinete	juguete
canto rodado	peña
lacayo	doméstico
luis de góngora	persona
batman	metrópoli
ferdinand de saussure	lingüista
maracay	entidad territorial
citología	asignatura
enna	curso de agua
calle sin salida	calle
adam smith	estudioso
azerí	lengua
cáncer	neoplasma
caldera	recipiente
hipervínculo	comando
shivani	autor
conductividad	fenómeno
señal de tráfico	gráfico
hospital	infraestructura sanitaria
cinturón	cinta
stinger	juego electrónico
arthur wellesley	oficial
foulard	vestuario
eurotúnel	vía expresa
bolivia	pueblo
babilonia	aglomeración urbana
cachorro	can
línea ferroviaria	vía expresa
parlamento	habla
karaoke	programa informático
conmutador	computador
chaparrón	líquido
rancho	vecindad
glaucoma	mal
winston churchill	grado militar
adoquín	piedra
ácido acético	compuesto
xenofobia	miedo
cimetidina	medicina
vinagre	condimento
jailbreak	álbum de estudio
fútbol club cartagena	escuadra
cardiopatía	desorden
james madison	reverendo
sake	angiosperma
1945	período
liberalización	corte
pena	humor
nieve	alcaloide
pepinillo	planta
hancock	municipio
monte rainier	volcán apagado
farol	escollo
panel solar	estructura arquitectónica
propilenglicol	compuesto químico
cóctel	combinación
1945	período orbital
superordenador	computador
yeso	carbonato
kublai kan	amo
cruce	extensión de agua
stanford	caserío
fc barcelona	organización deportiva
go fish	episodio
fc barcelona	escuadra
hancock	ciudad
chambas	entidad territorial
úlcera duodenal	señal
señal de tráfico	anuncio
walcheren	isla
villa	casa de campo
puerto rico	pueblo
patrón	tripulante
neblina	nube
habsburg	urbe
embarcación	transporte fluvial
monte rainier	cresta
rasta	seguidor
profesor	lector
enrique peña nieto	amo
rosa parks	reformador
diarrea	dolencia
opacidad	fenómeno natural
fotón	bosón
halcón peregrino	pájaro
liberalización	reducción
crema	medicamento
lazo	conexión
rasta	partidario
tutú	falda
vial	infraestructura urbana
axochiapan	zona metropolitana
estación de tren	edificio
señal de tráfico	comunicación visual
montaña	vecindad
capuchino	trago
carabela	transporte
cumbre	hábitat
erlang	software
taxodium	gimnospermas
tafetán	obra de arte
nieve	estrato
hank williams	vocalista
tráiler	máquina
instituto	sistema social
adam smith	concursante
caldera	formación geológica
río elba	río
alcohol	producto vegetal
coco	animal mítico
ellington	administración pública
reembolso	abono
zanja	corriente
soubise	población urbana
opacidad	fenómeno
amatista	gema
citación	mandato
leonor de aquitania	persona
gettysburg	villa
buque	embarcación
rotación	función matemática
the offspring	grupo de rock
alveolitis	patología
catalepsia	hipersomnia
grazalema	aldehuela
brandy	obra musical
sakura	cereza
macbeth	tragedia
flapper	niña
casco	yelmo
james madison	medalla de honor
monte rainier	volcán extinto
tokio	propiedad física
arroz	grano
pocilga	corral
halcón peregrino	falcón
sílex	óxido metálico
villa	estado federado
ponce de león	área urbana
cardamomo	aromatizante
citación	requisitoria
polvo blanco	opiáceo
adam smith	atleta
kruschev	jefe
afonía	enfermedad
forja	estructura arquitectónica
japonés	asiático
game of thrones	juego de ordenador
cáñamo	substancia
júpiter	mandatario
puerto rico	ciudad
fútbol	deporte de equipo
bromo	gas
benjamin disraeli	autoridad
cortijo	suburbio
tragicomedia	estilo literario
sangre	árbol familiar
macbeth	obra dramática
naranjito	área metropolitana
oliver hazard perry	marinero
karaoke	aplicación
terabyte	memoria real
institutor	sirviente
macbeth	espectáculo
villa	gobierno local
sucursal	departamento
stanford	mogol
puffinus	ave acuática
cuarentena	aislamiento
hedor	percepción
homicidio	muerte no natural
perjurio	delito menor
electroencefalografía	foto
explorador	aplicación
carlos de valois	mandatario
demodulación	telecomunicación
ajedrez	juego de salón
garm	canino
pedrisco	borrasca
galatasaray	metrópoli
stanford	metrópolis
intranet	red informática
isaac asimov	docente
contusión	enfermedad
aaron burr	persona
junta electoral	comité
dortmund	área metropolitana
vinagrera	vegetal
fc barcelona	equipo
farol	falsificación
geometría diferencial	asignatura
acera	autopista
crema agria	producto lácteo
albizia	tracheobionta
ingeniero civil	persona
brandy	género musical
cáñamo	fibra
polaris	estrella
basilisco	pieza de artillería
dortmund	urbe
puente	equipamiento
dictadura	control social
texas	grupo de rock
cebú	metrópoli
sátrapa	dirigente
aborto	mutación
bromeliaceae	angiosperma
lazo	trapo
ellington	comuna
xantina	álcali
schiaparelli	formación geológica
plato	instrumento
renacimiento de harlem	acción social
citación	fragmento
cuervo	ave
monte vesubio	accidente geográfico
renacimiento de harlem	etapa
pavimento	autopista
trinitaria	vitaceae
capuchino	fluido
ruido blanco	ruido
yahoo	programa de computación
autonomía	especificación técnica
stanford	pueblo
senador	político
arn	biomolécula
inocencio iv	persona
kublai khan	soberano
cinturón	banda
stanley kubrick	cienasta
rastrillo	mercado
cachorro	joven
turbión	compuesto químico
mezquita	tracheobionta
lingüística	metodología
ferry	vehículo
gnosticismo	filosofía
dólar	letra de cambio
ácido acético	óxido metálico
ellington	municipalidad
kerch	entidad territorial
ocre	azafrán
roberto urdaneta	político
gárgola	grutesco
endrina	spermatophyta
villanueva de gumiel	área urbana
zampoña	instrumento de viento
ellington	pianista
letrista	músico
inocencio iv	cristiano
pera	faz
coronel	ejército regular
monte rainier	cumbre
hortensia	planta
contusión	mal
nochebuena	vacación
dinero fiduciario	pisto
institutor	doméstico
turbión	condición atmosférica
plethodontidae	salamandra
mojón	rotulación
judas iscariote	sacerdote católico
lago eyre	curso de agua
mezquita	lugar de culto
lusaka	urbe
bolivia	área metropolitana
winston churchill	escritor
telescopio	magnificador
compensación	compensación financiera
lamiaceae	tracheobionta
lira maltesa	unidad monetaria
estación de tren	estructura arquitectónica
jet	avión
zumo	trago
lazo	hilo
yeso	calcita
embarcación	nave
sakura	drupa
soubise	centro urbano
liberalización	debilitamiento
kublai khan	mandatario
kiwi	ave
fósforo	fosforera
río elba	arroyo
endocarditis	síntoma
circón	roca
plethodontidae	animal
trisquel	imagen
mojón	gráfico
crédito fiscal	disminución
as de diamantes	carta
penumbra	oscuridad
cifosis	parte corporal
tienda	comerciante
cáñamo	producto vegetal
electroimán	imán
diarrea	mal
sentido del oído	sensibilidad
centésimo	fracción
vals	obra de arte
cruz de malta	dibujo
pera	rostro
tamarao	búfalo
cruz de malta	cruz
barco de carga	transporte de pasajeros
xenofobia	fobia social
tecladista	músico
asentamiento	comunidad
liberalización	alivio
alforja	bolso
galatasaray	aglomeración urbana
flapper	joven
macbeth	obra de teatro
ave de corral	ave
bagatela	composición musical
cruz de malta	emblema
fútbol club cartagena	equipo
lacayo	trabajador doméstico
pulgar	extremidad
rancho	edificación
jardín	plano
chartreuse	árido
nochebuena	vacaciones
cimetidina	compuesto químico
usura	tasa de interés
molinete	estructura arquitectónica
cachorro	persona
golfo de méxico	cuenca de recepción
pedrisco	tormenta violenta
tubo de escape	sección transversal
báscula	balanza
paraná	aglomeración urbana
adoquín	compuesto
linchamiento	asesinato
torbellino	escándalo
tokio	ciudad global
coco	microorganismo
cal	código informático
blas infante	notario
avalancha	descenso
let it be	álbum de estudio
aristocracia	elite
dólar	obligación
yahoo	personaje
república federal	república
mikhail gorbachev	líder
senador	jefe
mikhail gorbachev	jefe de estado
geoda	nódulo
óscar arias sánchez	dirigente
praga	centro urbano
strindberg	dramaturgo
turbión	clima
bolivia	aglomeración urbana
cuartel	emblema
kublai kan	tratamiento
fósforo	compuesto
seminario	conferencia
hipervínculo	enlace
tiramisú	producto alimenticio
demanda	instancia
presión atmosférica	magnitud
tubo de escape	caño
radioactividad	reacción nuclear
plexiglás	polímero
carretera	vía expresa
himno	canción
endrina	arbusto
dólar	acuñación
naranjo	planta
arturo toscanini	director
lamiaceae	planta vascular
chambas	pueblo
astigmatismo	afección
winston churchill	personaje
vehículo blindado	transporte de pasajeros
canto rodado	roca sedimentaria
júpiter	objeto astronómico
neófito	persona
seleccionador	líder
microondas	magnitud física
delta	formación geológica
proteína	compuesto
fósforo	compuesto químico
puffinus	ave marina
elipsoide	configuración
dólar	símbolo monetario
encuentro	pelea
nuez moscada	raíz
cal	óxido metálico
paste	producto alimenticio
mary poppins	cine musical
caja registradora	caja
pena de muerte	castigo físico
mtv	canal
halle	zona metropolitana
nevasca	condición atmosférica
robo	crimen grave
lahar	avalancha
lanza	cabo
lascivia	deseo
culebra de collar	bicha
camino	traslado
manopla	vestimenta
coco	duende
fútbol	juego deportivo
terabyte	unidad de información
trampa	astucia
cartera	bagaje
muralla	infraestructura urbana
rasta	comunidad
confiscación	requisitoria
franklin delano roosevelt	jefe de gobierno
tiza	mineral
metal precioso	bloque
catálogo	trabajo
pepinillo	aromatizante
conmutador	operador
tokio	centro
bagatela	sandeces
james madison	estadista
molinete	fuego artificial
judas iscariote	apóstol
ralph vaughan williams	persona
monte vesubio	estratovolcán
apátrida	exilado
cumbre	fabricación
nkvd	servicio de inteligencia
fantoche	etapa
coco	ser espiritual
mantequilla de maní	pasta
pasarela	entarimado
yahoo	firma
cachorro	perro
mary poppins	álbum
floresta	palo
karaoke	programa de computación
carretera	camino
desierto	habitat
yeso	asociación voluntaria
cuscús	pasta
placa	enfermedad
encuentro	enlace
fósforo	mechero
finca	bien inmueble
ovejero	perro pastor
vicepresidente	dirigente
patrullero	defensor
cáñamo	tracheobionta
paste	receta de cocina
cañón	arma
gúgol	número cardinal
obstetricia	ciencia natural
bolsillo	parte del cuerpo
sombrero	vestuario
amatista	rojez
james madison	dirigente
ginebra	bebida destilada
alucinógeno	substancia
teodosio i	emperador romano
sudor	fluido
garfield	estación de trenes
soroche	afección
arthur wellesley	oficial militar
drama	obra de arte
termistor	componente electrónico
guardameta	persona
fútbol club cartagena	club
cebú	ganado
bandera	emblema
epigrafía	indagatoria
ralph vaughan williams	compositor
ojal	agujero
homicidio	maldad
circulante	ventaja
william ewart gladstone	estadista
francisco vergara	persona
texas	agrupación musical
protector de pantalla	código informático
tafetán	trapo
patrón	dueño
alicante	pueblo
myrdal	autoridad
zeeman	cráter lunar
medio de transporte	medio
cricket	prueba
chartreuse	mineral
calisto	satélite natural
apátrida	emigrante
coronel	grado militar
sakura	spermatophyta
himno	obra musical
energía	escalar
cosecante	correspondencia
halcón peregrino	vertebrado
cava	alcohol
robert lowell	poeta
traje	indumentaria
cereal	semilla
olla	recipiente
esclusa	zona
teodosio i	jefe de estado
chaparrón	tormenta violenta
ruta	función continua
yeso	compuesto químico
termistor	máquina
william ewart gladstone	dirigente
hamás	acción social
ábside	peana
olivo	árbol
flamen	reverendo
lynch mob	banda de música
cabra	bóvido
espiga	planta floral
propilenglicol	polialcohol
pene	órgano
cuartel	instalación artística
ingreso	pago
costa	vecindad
gnosticismo	herejía
alternador	generador eléctrico
caldera	máquina
musical	performance
bruce willis	actor dramático
hezbolá	movimiento
gasa	algodón
barco pesquero	bote
zambia	país
pulsera	bijou
adam smith	base de datos
neblina	niebla
brahmaputra	extensión de agua
cuartel	escudo
calisto	luna
chelín	efectivo
lechuga	verdura
santo	deidad
robert graves	competidor
vinagrera	recipiente
mercadillo	mercado
lascivia	comportamiento sexual humano
gamuza	material textil
daiquiri	fármaco
franklin delano roosevelt	jefe de estado
vino	alcohol
psicometría	parapsicología
lasso	compositor
llovizna	precipitación atmosférica
tiramisú	torta
falda	ropa
abadía	edificación
ábside	exedra
cuenta de ahorro	documentación
stanford	jefe
ellington	organista
chartreuse	compuesto químico
fusión	integración
galatasaray	ciudad
mandarina	fruto
hemorragia	molestia
bray	instituto
nuez moscada	planta vascular
pocilga	hacienda
sangre	genealogía
kublai kan	dueña
myspace	sitio web
pedrisco	temporal
mantis religiosa	arthropoda
carreteo	transporte por camión
máquina de vapor	motor
vinagrera	verdura
homicidio	matanza
stanford	área metropolitana
media aritmética	análisis estadístico
cabecera	plancha
shakira	álbum
empaque	cercamiento
teniente primero	grado militar
kerch	aglomeración urbana
puente	prótesis dental
bray	universidad
barco insignia	transporte naval
pelo de camello	textil
sociedad limitada	corporación
fragata	embarcación
jailbreak	lanzamiento
plexiglás	colofonia
piel de nutria	pelaje
halle	aglomeración urbana
adoquín	material de construcción
acadio	lengua muerta
pera	fruto
doncella	chica
pezuña hendida	casco
axila	tejido conjuntivo
ácido	fármaco
jailbreak	obra musical
virus informático	software
anatolio	nombre de pila
farol	máquina
dortmund	centro urbano
